Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms),Month,Year_Month
2025-05-09,35.0,1674.943340426018,1858.0772686449343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476965448263272,1.292299681188328,0.2544226951384902,2813.0,0.0,0.0,0.0,0.0,1776258.0,0.0,May,2025-05
2025-05-10,45.0,1642.3297407557477,2352.937578848303,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053668084074042,1.3712098841811924,0.2488001712327185,3453.0,0.0,0.0,0.0,0.0,1098264.0,0.0,May,2025-05
2025-05-11,46.0,1686.2353775053257,2684.7175562534017,0.0,0.0,94.53566121842496,123.0,54.0,0.0,0.0,0.0,0.0,0.4508383420639372,1.2395853308587628,0.2734019142750729,4344.0,0.0,0.0,0.0,0.0,2011005.0,0.0,May,2025-05
2025-05-12,8.0,1607.492146128625,401.1473234267868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525151151709855,1.008962068743434,0.2544226951384902,652.0,0.0,0.0,0.0,0.0,374034.0,0.0,May,2025-05
2025-05-13,73.0,1752.0269217821285,5487.025968273094,49.0,49.0,75.51086956521739,87.0,65.0,0.0,0.0,0.0,0.0,0.5370099300722964,1.8333819883037492,0.2665380615736564,7176.0,0.0,0.0,0.0,0.0,3378727.0,0.0,May,2025-05
2025-05-14,83.0,1785.089926415324,6362.74675853617,52.0,46.0,94.41921768707483,125.0,82.0,0.0,0.0,0.0,0.0,0.7549182533064498,2.211656656362277,0.2544226951384902,6943.0,0.0,0.0,0.0,0.0,3887502.0,0.0,May,2025-05
2025-05-15,84.0,1784.54376353424,6004.3393087518525,44.0,44.0,94.36607142857144,114.0,63.0,0.0,0.0,0.0,0.0,0.5243911466967928,1.795598130224984,0.2544226951384902,6847.0,0.0,0.0,0.0,0.0,4054712.0,0.0,May,2025-05
2025-05-16,117.0,1837.5830188256543,8173.259084571758,76.0,76.0,89.85505124450951,135.0,81.0,0.0,0.0,0.0,0.0,0.5734025982087063,1.741377729879567,0.249160286774271,10128.0,0.0,0.0,0.0,0.0,5157124.0,0.0,May,2025-05
2025-05-17,113.0,1805.74012424926,7803.010010217898,58.0,58.0,116.39107142857142,137.0,72.0,0.0,0.0,0.0,0.0,0.6348932092103253,1.8823124386622565,0.2786534280088226,8787.0,0.0,0.0,0.0,0.0,4474444.0,0.0,May,2025-05
2025-05-18,127.0,1839.8876550672792,7912.039290242963,58.0,57.0,96.88214285714284,131.0,71.0,0.0,0.0,0.0,0.0,0.7875486509191426,2.0504359190587165,0.2540070546582648,11310.0,0.0,0.0,0.0,0.0,5000880.0,0.0,May,2025-05
2025-05-19,68.0,1769.7450610859023,6566.587304731307,73.0,50.0,96.36443468715696,109.0,85.0,0.0,0.0,0.0,0.0,0.5586958693007653,2.3830798798781454,0.302884160879155,6895.0,0.0,0.0,0.0,0.0,3068835.0,0.0,May,2025-05
2025-05-20,54.0,1737.0821853366244,5075.159647969183,47.0,47.0,0.0,0.0,0.0,34.00583267211914,74.76602935791016,34.00583267211914,74.76602935791016,0.4388085590485831,1.9497684450374877,0.2544226951384902,6296.0,0.0,0.0,0.0,0.0,3007529.0,0.0,May,2025-05
2025-05-21,51.0,1732.1190584666629,4675.932562269001,46.0,46.0,118.53191489361704,134.0,79.0,0.0,0.0,0.0,0.0,0.5759927844000665,1.7086556298489877,0.3634609578483895,5905.0,0.0,0.0,0.0,0.0,2964868.0,0.0,May,2025-05
2025-05-22,57.0,1738.7589491603749,5262.564143352007,48.0,48.0,93.0,97.0,89.0,0.0,0.0,0.0,0.0,0.4684163119956529,2.038798766578886,0.2544226951384902,6531.0,0.0,0.0,0.0,0.0,2934886.0,0.0,May,2025-05
2025-05-23,68.0,1749.8393099986883,5402.783086136896,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6042116512941136,2.1911845821085008,0.2786534280088226,6738.0,0.0,0.0,0.0,0.0,3122385.0,0.0,May,2025-05
2025-05-24,124.0,1924.9662988800624,8785.039886546534,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5423090055401807,1.9804358406073388,0.2544226951384902,11259.0,0.0,0.0,0.0,0.0,4014176.0,1238915.0,May,2025-05
2025-05-25,70.0,1749.7775197174217,5866.3378933392105,50.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6407951402676301,2.106618204147608,0.2547576377738905,7367.0,0.0,0.0,0.0,0.0,3276113.0,0.0,May,2025-05
2025-05-26,65.0,1776.667196947355,5740.261519202238,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452845524579252,1.67475823992728,0.2544226951384902,7265.0,0.0,0.0,0.0,0.0,3802847.0,0.0,May,2025-05
2025-05-27,68.0,1783.786784663334,5917.365505580636,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4828393162457745,1.8934983906383749,0.2636022693759236,7594.0,0.0,0.0,0.0,0.0,3943100.0,0.0,May,2025-05
2025-05-28,111.0,1820.06259980011,8134.26406282433,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5022167984220063,1.9023282365163128,0.2544226951384902,10120.0,0.0,0.0,0.0,0.0,4594879.0,0.0,May,2025-05
2025-05-29,89.0,1814.70257139919,6530.854957964483,47.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722576766123404,2.166108002594304,0.2544226951384902,8361.0,0.0,0.0,0.0,0.0,4508543.0,0.0,May,2025-05
2025-05-30,56.0,1737.4229478479876,4931.081732413873,43.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509336861125135,2.537510432571316,0.250374959614228,5937.0,0.0,0.0,0.0,0.0,2800216.0,0.0,May,2025-05
2025-05-31,149.0,1955.6770325376172,11921.900284980076,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6531912872315971,2.009084008067643,0.2544226951384902,15070.0,0.0,0.0,0.0,0.0,7055727.0,0.0,May,2025-05
2025-06-01,126.0,1895.3488116611315,10513.405663756534,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5506594391801536,1.8611804516113608,0.2544226951384902,13007.0,0.0,0.0,0.0,0.0,5964136.0,0.0,June,2025-06
2025-06-02,57.0,1716.264354660975,4368.270156557978,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4599091403645922,1.9121302927362915,0.2544226951384902,5722.0,0.0,0.0,0.0,0.0,2635269.0,0.0,June,2025-06
2025-06-03,120.0,1924.417256415084,9814.122114644528,81.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6863712301241975,2.6446246259923507,0.2665380615736564,12352.0,0.0,0.0,0.0,0.0,6247460.0,171391.0,June,2025-06
2025-06-04,89.0,1790.4603867063124,6652.209998721936,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4725102942256188,1.7019033760436657,0.2907687944439888,8542.0,0.0,0.0,0.0,0.0,4177711.0,0.0,June,2025-06
2025-06-05,97.0,1845.9328566161132,7377.52667074851,58.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053247085330799,1.9843353747571244,0.2544226951384902,9335.0,0.0,0.0,0.0,0.0,5089070.0,0.0,June,2025-06
2025-06-06,133.0,1979.329996004544,10158.58790162103,76.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6968616227884761,1.9464674085254712,0.2544226951384902,12984.0,0.0,0.0,0.0,0.0,7790989.0,133448.0,June,2025-06
2025-06-07,175.0,1875.0216296867711,10513.29359408395,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6277221807486548,1.8297924242561168,0.2544226951384902,13753.0,0.0,0.0,0.0,0.0,5223924.0,237549.0,June,2025-06
2025-06-08,43.0,1662.4740869709128,2764.958018752212,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681040792164088,1.589090417644071,0.2907687944439888,3656.0,0.0,0.0,0.0,0.0,1517039.0,0.0,June,2025-06
2025-06-09,116.0,1971.3315936628044,11822.922464095373,146.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7978446491939754,2.442585026223993,0.2473145869751674,13862.0,0.0,0.0,0.0,0.0,6869991.0,0.0,June,2025-06
2025-06-10,69.0,1775.984631073837,6173.771330169446,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916213168108525,2.027277920160179,0.2786534280088226,7589.0,0.0,0.0,0.0,0.0,3643208.0,0.0,June,2025-06
2025-06-11,67.0,1774.3642479484404,5787.496746248311,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5147988539474028,1.8240386577961067,0.2786534280088226,7120.0,0.0,0.0,0.0,0.0,3722969.0,0.0,June,2025-06
2025-06-12,62.0,1773.0012122557978,5740.145387271952,52.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6013072261762672,2.076722720971321,0.2786534280088226,7110.0,0.0,0.0,0.0,0.0,3597674.0,0.0,June,2025-06
2025-06-13,114.0,1900.17648360214,8120.239109312052,55.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6762141567469692,2.171254218367359,0.2665380615736564,10500.0,0.0,0.0,0.0,0.0,5369820.0,444500.0,June,2025-06
2025-06-14,130.0,1840.16191445044,8476.23904730757,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6413985309222574,1.5917916594927972,0.3195899944144503,11031.0,0.0,0.0,0.0,0.0,5210941.0,0.0,June,2025-06
